country,site_name,site_url
阿富汗,虚拟阿富汗人,http://www.virtualafghans.com/
阿联酋,SITESPOWER培训中心,http://www.sitespower.com/
阿富汗,信州电视台,http://www.tsb.co.jp/
阿富汗,阿富汗基督之声,http://www.masih.tv/
阿富汗,阿富汗在线,http://www.afghan-web.com/
阿联酋,迪拜中华网,http://www.dibaichina.com/
阿联酋,迪拜媒体公司,http://www.dmi.ae/dubaisports/
阿富汗,阿富汗伊斯兰通讯社,http://www.afghanislamicpress.com/
阿富汗,musicJAPANplus,http://www.musicjapanplus.jp
阿富汗,黎明电视台,http://tolo.tv/
阿富汗,伊朗伊斯兰共和国通讯社,http://www2.irna.ir/
阿富汗,阿富汗教育部,http://dari.moe.gov.af/
牙买加,牙买加观察者报,http://www.jamaicaobserver.com/
牙买加,牙买加贸易出口展,http://www.expojamaica.com.jm/
牙买加,牙买加护照、公民与移民局,http://www.mns.gov.jm/
牙买加,中国驻牙买加大使馆,http://jm.china-embassy.org/eng/
牙买加,国际海底管理局,http://www.isa.org.jm/
牙买加,牙买加政府,http://www.jamaica.gov.jm/
牙买加,牙买加教育部,http://www.moec.gov.jm/
英属维尔京群岛,阳光岛屿报,http://www.islandsun.com/
牙买加,Caribbean Faith Network,http://caribbeanfaithnetwork.com/
牙买加,牙买加新闻卫视,http://www.jnntv.com/
牙买加,雷鬼娱乐电视台,http://www.reggaetelevision.com/
牙买加,Hype TV,http://www.hypetvjam.com/
英属维尔京群岛,英属维尔京群岛副总督府,http://www.dgo.gov.vg/
亚速尔群岛,亚速尔移民局,http://www.azores.gov.pt/
亚速尔群岛,亚速尔在线,http://www.acorianooriental.pt/
意大利,罗马俱乐部,http://www.clubofrome.org/
意大利,晚邮报,http://www.corriere.it/
意大利,国际农业发展基金会,http://www.ifad.org/
意大利,意大利教育部,http://www.istruzione.it/
意大利,食品法典委员会,http://www.codexalimentarius.net/
意大利,中国驻意大利大使馆,http://it.china-embassy.org/ita/
意大利,意大利国防部,http://www.difesa.it/
意大利,意大利共和报,http://www.repubblica.it/
意大利,中国驻米兰总领事馆,http://milano.china-consulate.org/eng/
意大利,意大利航天局,http://www.asi.it/
意大利,联合国粮农组织,http://www.fao.org/
意大利,Ceramicanda,http://www.ceramicanda.it/
意大利,意大利政府,http://www.governo.it/
意大利,博洛尼亚大学中国学联,http://www.boxue.it/
意大利,意大利佛罗伦萨学联,http://www.xuelian.it
意大利,意大利中国学生学者联谊会,http://www.cssui.org/
意大利,米兰体育报,http://english.gazzetta.it/
意大利,意华社区,http://www.iycbbs.com/
意大利,意大利新华时报,http://www.xinhuaitaly.com/
意大利,意国蓝天,http://www.italysky.com/
意大利,欧联网,http://www.ouhuanews.com/
意大利,奋斗在意大利网,http://www.cineseitalia.com/
意大利,欧洲华人报,http://www.ozhrb.com/
意大利,意大利华人青年社区,http://www.romaren.com/x/portal.php
意大利,意大利华人天主教会,http://www.zanmeizhu.it/drupal/
意大利,普拉托华人天主教会,http://www.cccprato.org
意大利,欧华传媒网,http://ouhuaitaly.com/
以色列,以色列教育、文化与体育部,http://cms.education.gov.il/
意大利,信使报,http://www.ilmessaggero.it/
意大利,宣言报,http://ilmanifesto.info/
意大利,日报,http://www.ilgiorno.it/
以色列,中国驻以色列大使馆,http://il.china-embassy.org/eng/
意大利,24小时太阳报,http://www.ilsole24ore.com/
意大利,7 Gold,http://www.italia7gold.com/
意大利,3 Channel,http://www.3channel.it/
以色列,以色列教育电视台,http://www.23tv.co.il/
以色列,以色列外交部,http://www.mfa.gov.il/
以色列,以色列政府,http://www.gov.il/
意大利,网络安全培训,http://www.elearnsecurity.com/
意大利,意大利语言中心,http://www.elle2.it
意大利,新闻报,http://www.lastampa.it/
伊朗,伊朗生物技术期刊,http://ijb.nigeb.ac.ir/
意大利,AB频道,http://www.abchannel.it/
意大利,意大利广播电视公司,http://www.rai.it/
以色列,历史频道,http://www.historychannel.co.il/
意大利,意大利日报,http://www.ilgiornale.it/
以色列,以色列移民吸收局,http://www.moia.gov.il/
以色列,Hop!,http://www.hop.co.il/
以色列,Nana10,http://www.nana10.co.il/
以色列,Walla!,http://www.walla.co.il/
伊朗,Shabakeh,http://www.shabakeh-mag.com/
伊朗,伊朗共产党,http://cpiran.org/
伊朗,亚洲清算联盟,http://www.asianclearingunion.org/
伊朗,中国驻伊朗大使馆,http://ir.chineseembassy.org/eng/
伊朗,伊朗航天局,http://www.isa.ir/
伊朗,伊朗领袖,http://www.leader.ir/
伊朗,哈桑·鲁哈尼,http://rouhani.ir/
伊朗,Al-Kawthar TV,http://www.alkawthartv.ir/
伊拉克,伊拉克晨报,http://www.alsabaah.com/
伊朗,Alalam电视台,http://www.alalam.ir/
伊拉克,伊拉克教育部,http://www.moedu.gov.iq/
伊拉克,库尔德斯坦区域政府,http://krg.org/
伊拉克,伊拉克政府,http://www.cabinet.iq/
伊拉克,Al Adel United TV,http://www.aladelunited.com/
约旦,约旦宪法报,http://www.addustour.com/
伊拉克,Al Babelyia,http://www.albabelyia.tv/
伊拉克,Peyamner通讯社,http://peyamner.com/
伊拉克,Ahlulbayt TV,http://www.ahlulbayt.com/
伊拉克,伊拉克媒体,http://www.imn.iq/
伊拉克,伊拉克阿尔苏马里亚电视台,http://www.alsumaria.tv/
约旦,中国驻约旦大使馆,http://jo.chineseembassy.org/eng/
约旦,约旦政府,http://www.kinghussein.gov.jo/
约旦,约旦教育部,http://www.moe.gov.jo/
约旦,Aghanina TV,http://www.aghanina.tv/
越南,越南快讯,http://vnexpress.net/
越南,越南人民报,http://www.nhandan.org.vn/
约旦,NART TV,http://www.narttv.tv/
约旦,Toyor Al-Janah,http://www.toyoraljanah.com/
约旦,七星电视台,http://7stars.tv/
越南,越南教育与培训部,http://en.moet.gov.vn/
越南,中国驻越南大使馆,http://vn.china-embassy.org/eng/
越南,Thanglong,http://thanglongstudy.com/
印度,Mint,http://www.livemint.com/
印度,瞭望,http://www.outlookindia.com/
印度,觉醒日报,http://www.jagran.com/
印度,印度国大党,http://www.aicc.org.in/new/
印度,印度人民党,http://www.bjp.org/
